ymd,Í∞ïÎÇ®Íµ?Í∞ïÎèôÍµ?Í∞ïÎ∂ÅÍµ?Í∞ïÏÑúÍµ?Í¥Ä?ÖÍµ¨,Í¥ëÏßÑÍµ?Íµ¨Î°úÍµ?Í∏àÏ≤úÍµ??∏ÏõêÍµ??ÑÎ¥âÍµ??ôÎ?Î¨∏Íµ¨,?ôÏûëÍµ?ÎßàÌè¨Íµ??úÎ?Î¨∏Íµ¨,?úÏ¥àÍµ??±ÎèôÍµ??±Î∂ÅÍµ??°ÌååÍµ??ëÏ≤úÍµ??ÅÎì±?¨Íµ¨,?©ÏÇ∞Íµ??Ä?âÍµ¨,Ï¢ÖÎ°úÍµ?Ï§ëÍµ¨,Ï§ëÎûëÍµ?,,,,,,,,,,,,,,,,,,
201412,3552.63196,2122.184393,1378.857988,1575.186914,1683.682024,2226.950288,1529.6763,1498.24906,1437.828223,1241.999048,1596.87729,1952.798722,2073.199466,1608.049202,3104.143098,2104.760319,1540.352562,2699.592483,1817.6686,1979.177953,2406.583506,1664.845745,1940.377885,2067.837845,1395.928055
201501,3570.523872,1980.893062,1488.616546,1545.906708,1644.527539,2244.74396,1479.618575,1764.450284,1413.581608,1248.106431,1576.244858,1981.137633,2070.182896,1640.373335,3178.496518,2042.569793,1510.7531,2708.22216,1807.188978,1842.868952,2682.042669,1539.299591,1810.101495,2149.036297,1387.432722
201502,3616.032902,2028.770535,1511.432075,1598.702214,1621.119073,2194.239663,1518.244575,1805.68627,1419.183056,1312.692441,1551.667806,1992.466469,2132.126532,1625.683082,3127.399507,2057.154903,1551.620568,2742.487532,1865.257392,1782.103314,2649.908506,1520.862463,1899.243803,2056.227314,1369.543068
201503,3646.38445,2073.657169,1491.518124,1580.150468,1682.445775,2217.276799,1489.413934,1531.806977,1432.280919,1270.605127,1557.701213,1992.627204,2105.757886,1611.539106,3248.824069,2118.711249,1569.433322,2783.153743,1918.755534,1854.78672,2543.817803,1551.096558,2042.692827,2088.048139,1367.501616
201504,3747.290811,2144.931749,1546.576341,1642.284234,1661.424495,2173.608184,1519.291028,1381.297358,1440.661732,1261.318633,1600.04728,1995.456091,2107.295913,1637.528599,3193.890538,2301.381106,1567.605421,2831.742955,1915.396917,1902.213276,2618.912675,1513.773295,1964.237491,2058.027638,1392.539487
201505,3887.325524,2053.826159,1582.079513,1623.054828,1608.754153,2276.846,1491.105944,1482.922248,1445.339875,1295.363553,1608.931661,1987.847937,2174.703873,1629.62659,3214.802893,2192.70326,1566.312412,2930.593707,1882.038366,1838.566511,2611.449003,1522.663186,2048.515086,2153.194995,1397.308534
201506,3732.750153,2125.285288,1518.441264,1627.215673,1630.207676,2268.742743,1531.681839,1345.683136,1440.478742,1296.905895,1601.966993,2075.567465,2197.569917,1712.773085,3302.594338,2119.569576,1578.433352,2846.003593,2040.187137,1805.140185,2594.251055,1532.780749,1865.851547,2055.535612,1424.276481
201507,3935.859185,2137.599821,1567.275911,1668.323891,1636.725132,2391.179224,1517.075264,1380.138262,1462.492134,1288.160517,1647.84867,2069.025873,2205.065349,1714.138014,3311.994695,2171.277791,1562.898313,2863.87442,1972.81526,1892.918892,2698.324,1517.92516,2038.42526,2046.541924,1433.438857
201508,3724.057095,2166.108374,1590.682386,1717.143973,1624.896384,2245.604392,1568.466527,1405.21827,1458.433333,1319.852641,1683.053216,2088.159834,2165.676951,1715.37835,3188.680975,2207.250109,1623.071917,2865.786236,1920.857727,1922.691349,2775.720532,1622.454358,1915.252,2095.174393,1474.130005
201509,3875.472209,2202.45271,1599.220583,1841.255934,1659.54953,2316.987507,1608.470182,1399.240156,1500.230533,1307.464694,1665.026292,2605.268949,2223.505752,1628.3307,3357.073742,2167.916165,1635.987721,2997.274229,2018.885425,1891.615719,2687.86824,1541.826198,1943.457685,2150.385124,1493.023592
201510,3916.025626,2221.554425,1618.372482,1820.466904,1720.429584,2332.098843,1572.494842,1482.872711,1514.55349,1340.387022,1722.357993,2202.774039,2341.748825,1743.255084,3354.365687,2205.09557,1655.309449,3055.282121,2132.44183,1931.466001,2755.355656,1548.673703,1945.568684,2182.948136,1739.608325
201511,4005.34144,2180.545156,1511.9759,1786.380405,1729.205522,2389.31987,1582.207763,1518.684948,1515.676983,1375.401247,1737.388868,2150.277006,2343.586353,1714.65227,3430.111261,2339.909235,1636.453056,3080.677291,2239.077556,1936.72545,3006.99655,1564.50573,2054.561099,2196.638652,1658.021555
201512,3816.119756,2164.464501,1493.162976,1725.53887,1786.97062,2362.854306,1609.041574,1515.654432,1503.223353,1386.455178,1712.446961,2128.481759,2264.508357,1712.67986,3347.587578,2276.112243,1698.854542,2820.698917,2036.907358,1926.990814,2807.850376,1564.840797,2185.467941,2191.505013,1650.685857
201601,3905.961315,2262.52366,1453.706435,1779.278392,1718.139059,2360.978457,1619.951958,1408.666137,1536.176193,1345.526912,1749.701524,2186.094134,2275.164606,1727.884158,3236.017465,2178.578987,1657.132841,2797.832383,1905.995498,1935.783666,2747.32512,1568.638881,2143.697338,2151.396216,1557.555599
